repeat_simulation_ith,dist_between_rope_and_UAV,wind_field,vx_rand,cost
1,0.440126786563219,1.38999891281128,0.796324491638841,2.18632340445012
2,0.389555599994639,0,1.60516315843219,1.60516315843219
3,0.46573774988117,0,0.58098334636585,0.58098334636585
4,0.185066068445556,0.0200004577636719,0.440380860120058,0.46038131788373
5,0.642340008123327,0,0.504822853952646,0.504822853952646
6,0.207492387613514,2.48999786376953,0.242621805518866,2.7326196692884
7,0.653006249817702,0.670005798339844,0.35861112549901,1.02861692383885
8,0.380467930089153,0,0.681491997092962,0.681491997092962
9,0.469741233970284,0,0.63498666882515,0.63498666882515
10,0.659942637011301,0,0.453300140798092,0.453300140798092
11,0.543008694303684,0,0.470505964010954,0.470505964010954
12,0.463297357370187,0,0.57767791301012,0.57767791301012
13,0.463900598738839,0,0.589777328073978,0.589777328073978
14,0.463285039988813,0,0.569316439330578,0.569316439330578
15,0.498778275049595,0,0.546754002571106,0.546754002571106
16,0.46513490575963,0,0.551880307495594,0.551880307495594
17,0.818176513247374,0.169998168945313,0.411432646214962,0.581430815160275
18,0.551522970028421,0,0.465607561171055,0.465607561171055
19,0.57665580623416,0,0.536737535148859,0.536737535148859
20,0.466227012551314,0,0.584431357681751,0.584431357681751
