repeat_simulation_ith,dist_between_rope_and_UAV,wind_field,vx_rand,cost
1,0.377170333101304,1.2699990272522,0.817831920607869,2.08783094786007
2,0.448900271239497,0,1.15507703025596,1.15507703025596
3,2.39443519636744,0.180000305175781,0.758201184802782,0.938201489978564
4,1.89958684998621,1.41999816894531,0.682898540049791,2.1028967089951
5,2.0404709977911,4.92000579833984,0.5,5.42000579833984
6,1.86104831668127,3.21999359130859,0.585244253277779,3.80523784458637
7,2.04368003701941,4.91999053955078,0.5,5.41999053955078
8,0.1914045454435,3.49999618530273,0.567733623087406,4.06772980839014
9,1.99762588829145,4.92000579833984,0.5,5.42000579833984
10,1.92599258275929,4.71998596191406,0.507593713700771,5.22757967561483
11,2.00834919037747,4.87997436523438,0.503352180123329,5.3833265453577
12,1.38221058238746,2.98003387451172,0.595283560454845,3.57531743496656
13,2.02365663592931,4.92002105712891,0.5,5.42002105712891
14,1.85970241503007,3.16000366210938,0.587583445012569,3.74758710712194
15,2.54337932580356,4.05998229980469,0.539178941398859,4.59916124120355
16,2.54495065651438,4.34001922607422,0.527540106326342,4.86755933240056
17,2.00221547794121,4.91999816894531,0.5,5.41999816894531
18,0.189827827430126,3.61997985839844,0.563436813652515,4.18341667205095
19,2.16804861369887,4.91999816894531,0.5,5.41999816894531
20,2.17501566641413,0,0.5,0.5
