repeat_simulation_ith,dist_between_rope_and_UAV,wind_field
1,0.568724244155459,0
2,0.611339893367008,0
3,0.615933731396262,0
4,0.615274124710954,0
5,0.613522563615127,0
6,0.614904064852542,0
7,0.614932374088991,0
8,0.613762114143856,0
9,0.615079894683612,0
10,0.615909170063582,0
11,0.615280142917071,0
12,0.613246073885749,0
13,0.614621309671526,0
14,0.613522279202778,0
15,0.614899798091795,0
16,0.613887235828182,0
17,0.613551901851773,0
18,0.616365670548507,0
19,0.617751627055221,0
20,0.619149756987377,0
