repeat_simulation_ith,dist_between_rope_and_UAV,wind_field
1,0.557884032020187,0
2,0.645176394244975,0.479997634887695
3,0.645658469521493,0
4,0.713438346762418,0.479999542236328
5,0.714146439769344,0
6,0.677762702339741,0.479995727539063
7,0.664032755230182,0.479999542236328
8,0.684170090081812,0.479999542236328
9,0.675317787765335,0.479995727539063
10,0.684022549286502,0.480003356933594
11,0.660596120845661,0.480010986328125
12,0.650598459713564,0.480010986328125
13,0.663550569289278,0.480003356933594
14,0.642623739569247,0.480010986328125
15,0.681952036885706,0.480026245117188
16,0.681834001492376,0.47998046875
17,0.686261535064578,0.479965209960938
18,0.686410243695343,0
19,0.686557706830034,0
20,0.698281108319058,0.48004150390625
